date,country,region,disease,risk_score,prediction,shap_Growth Rate,shap_AI Anomaly Signal,shap_Disease Severity,shap_Healthcare Access Risk,shap_Case Volume,top_factor,top_factor_value,second_factor
2023-10-17,DRC,Bukavu,Dengue,37.2,37.228650100257276,-0.168,6.586,-0.8,2.184,-0.173,AI Anomaly Signal,6.586,Healthcare Access Risk
2024-01-16,DRC,Bukavu,Dengue,44.0,43.96265010025728,0.92,12.261,-0.8,2.184,-0.202,AI Anomaly Signal,12.261,Healthcare Access Risk
2024-02-26,DRC,Bukavu,Dengue,38.3,38.29165010025728,0.416,7.186,-0.8,2.184,-0.294,AI Anomaly Signal,7.186,Healthcare Access Risk
2024-03-01,DRC,Bukavu,Dengue,40.1,40.104650100257274,0.741,8.636,-0.8,2.184,-0.256,AI Anomaly Signal,8.636,Healthcare Access Risk
2024-03-02,DRC,Bukavu,Dengue,40.9,40.89765010025728,2.39,7.761,-0.8,2.184,-0.237,AI Anomaly Signal,7.761,Growth Rate
2024-03-03,DRC,Bukavu,Dengue,43.1,43.12365010025728,4.962,7.386,-0.8,2.184,-0.208,AI Anomaly Signal,7.386,Growth Rate
2024-07-24,DRC,Bukavu,Dengue,37.5,37.49765010025728,-0.258,7.061,-0.8,2.184,-0.289,AI Anomaly Signal,7.061,Healthcare Access Risk
2024-10-01,DRC,Bukavu,Dengue,42.8,42.81065010025728,1.247,10.836,-0.8,2.184,-0.256,AI Anomaly Signal,10.836,Healthcare Access Risk
2024-10-07,DRC,Bukavu,Dengue,45.9,45.94465010025728,8.607,6.536,-0.8,2.184,-0.182,Growth Rate,8.607,AI Anomaly Signal
2024-10-13,DRC,Bukavu,Dengue,55.9,55.88965010025728,6.804,17.636,-0.8,2.184,0.466,AI Anomaly Signal,17.636,Growth Rate
2023-01-07,DRC,Bukavu,Diarrheal_Disease,34.8,34.75465010025728,-0.571,7.561,-3.8,2.184,-0.219,AI Anomaly Signal,7.561,Disease Severity
2023-02-02,DRC,Bukavu,Diarrheal_Disease,37.9,37.911650100257276,0.24,9.936,-3.8,2.184,-0.248,AI Anomaly Signal,9.936,Disease Severity
2023-02-05,DRC,Bukavu,Diarrheal_Disease,36.8,36.80565010025728,1.885,7.161,-3.8,2.184,-0.224,AI Anomaly Signal,7.161,Disease Severity
2023-03-01,DRC,Bukavu,Diarrheal_Disease,38.9,38.94665010025728,-0.685,11.861,-3.8,2.184,-0.213,AI Anomaly Signal,11.861,Disease Severity
2023-03-04,DRC,Bukavu,Diarrheal_Disease,40.9,40.90165010025728,3.752,9.311,-3.8,2.184,-0.145,AI Anomaly Signal,9.311,Disease Severity
2023-04-13,DRC,Bukavu,Diarrheal_Disease,48.4,48.35265010025728,2.176,17.661,-3.8,2.184,0.532,AI Anomaly Signal,17.661,Disease Severity
2023-04-14,DRC,Bukavu,Diarrheal_Disease,51.2,51.15365010025728,7.253,14.961,-3.8,2.184,0.956,AI Anomaly Signal,14.961,Growth Rate
2023-05-17,DRC,Bukavu,Diarrheal_Disease,37.7,37.67665010025728,-0.115,9.886,-3.8,2.184,-0.078,AI Anomaly Signal,9.886,Disease Severity
2023-06-29,DRC,Bukavu,Diarrheal_Disease,42.5,42.51565010025728,1.711,12.986,-3.8,2.184,-0.165,AI Anomaly Signal,12.986,Disease Severity
2023-10-01,DRC,Bukavu,Diarrheal_Disease,38.7,38.71865010025728,0.584,10.361,-3.8,2.184,-0.21,AI Anomaly Signal,10.361,Disease Severity
2023-11-23,DRC,Bukavu,Diarrheal_Disease,46.7,46.69665010025728,2.924,15.561,-3.8,2.184,0.228,AI Anomaly Signal,15.561,Disease Severity
2023-11-24,DRC,Bukavu,Diarrheal_Disease,43.2,43.23365010025728,5.345,9.661,-3.8,2.184,0.244,AI Anomaly Signal,9.661,Growth Rate
2023-11-25,DRC,Bukavu,Diarrheal_Disease,47.3,47.27265010025728,8.768,10.161,-3.8,2.184,0.36,AI Anomaly Signal,10.161,Growth Rate
2024-03-01,DRC,Bukavu,Diarrheal_Disease,46.9,46.86165010025728,2.952,15.961,-3.8,2.184,-0.035,AI Anomaly Signal,15.961,Disease Severity
2024-03-02,DRC,Bukavu,Diarrheal_Disease,45.6,45.63865010025728,7.169,10.486,-3.8,2.184,-0.0,AI Anomaly Signal,10.486,Growth Rate
2024-04-04,DRC,Bukavu,Diarrheal_Disease,36.6,36.59665010025728,-0.015,8.686,-3.8,2.184,-0.058,AI Anomaly Signal,8.686,Disease Severity
2024-04-05,DRC,Bukavu,Diarrheal_Disease,37.6,37.57965010025728,1.109,8.461,-3.8,2.184,0.026,AI Anomaly Signal,8.461,Disease Severity
2024-09-28,DRC,Bukavu,Diarrheal_Disease,46.3,46.27865010025728,3.107,15.236,-3.8,2.184,-0.048,AI Anomaly Signal,15.236,Disease Severity
2024-09-29,DRC,Bukavu,Diarrheal_Disease,40.3,40.32465010025728,5.647,6.786,-3.8,2.184,-0.092,AI Anomaly Signal,6.786,Growth Rate
2024-10-01,DRC,Bukavu,Diarrheal_Disease,56.8,56.84065010025728,13.311,15.161,-3.8,2.184,0.385,AI Anomaly Signal,15.161,Growth Rate
2024-12-10,DRC,Bukavu,Diarrheal_Disease,42.7,42.70365010025728,0.738,13.861,-3.8,2.184,0.121,AI Anomaly Signal,13.861,Disease Severity
2023-01-23,DRC,Bukavu,Malaria,50.0,50.033650100257276,2.54,15.561,0.2,2.184,-0.051,AI Anomaly Signal,15.561,Growth Rate
2023-01-25,DRC,Bukavu,Malaria,51.3,51.28165010025728,10.9,8.436,0.2,2.184,-0.038,Growth Rate,10.9,AI Anomaly Signal
2023-02-19,DRC,Bukavu,Malaria,44.6,44.64865010025728,1.204,11.611,0.2,2.184,-0.15,AI Anomaly Signal,11.611,Healthcare Access Risk
2023-02-20,DRC,Bukavu,Malaria,47.5,47.473650100257274,5.566,9.986,0.2,2.184,-0.062,AI Anomaly Signal,9.986,Growth Rate
2023-03-10,DRC,Bukavu,Malaria,52.7,52.70865010025728,3.914,16.336,0.2,2.184,0.475,AI Anomaly Signal,16.336,Growth Rate
2023-05-22,DRC,Bukavu,Malaria,45.6,45.62965010025728,1.536,11.911,0.2,2.184,0.199,AI Anomaly Signal,11.911,Healthcare Access Risk
2023-05-23,DRC,Bukavu,Malaria,45.8,45.848650100257274,4.779,8.786,0.2,2.184,0.3,AI Anomaly Signal,8.786,Growth Rate
2023-07-19,DRC,Bukavu,Malaria,47.1,47.07965010025728,1.593,13.511,0.2,2.184,-0.008,AI Anomaly Signal,13.511,Healthcare Access Risk
2023-08-27,DRC,Bukavu,Malaria,41.4,41.36265010025728,0.135,9.486,0.2,2.184,-0.242,AI Anomaly Signal,9.486,Healthcare Access Risk
2023-10-01,DRC,Bukavu,Malaria,40.4,40.41265010025728,-0.29,8.961,0.2,2.184,-0.242,AI Anomaly Signal,8.961,Healthcare Access Risk
2023-10-18,DRC,Bukavu,Malaria,45.2,45.23765010025728,1.424,11.711,0.2,2.184,0.119,AI Anomaly Signal,11.711,Healthcare Access Risk
2023-10-19,DRC,Bukavu,Malaria,46.6,46.62065010025728,3.97,10.336,0.2,2.184,0.331,AI Anomaly Signal,10.336,Growth Rate
2023-11-15,DRC,Bukavu,Malaria,55.8,55.77965010025728,5.052,17.686,0.2,2.184,1.058,AI Anomaly Signal,17.686,Growth Rate
2023-12-10,DRC,Bukavu,Malaria,44.4,44.387650100257275,-0.28,12.411,0.2,2.184,0.273,AI Anomaly Signal,12.411,Healthcare Access Risk
2023-12-12,DRC,Bukavu,Malaria,48.6,48.57865010025728,5.357,10.786,0.2,2.184,0.452,AI Anomaly Signal,10.786,Growth Rate
2024-03-01,DRC,Bukavu,Malaria,44.3,44.329650100257275,0.276,12.286,0.2,2.184,-0.216,AI Anomaly Signal,12.286,Healthcare Access Risk
2024-04-10,DRC,Bukavu,Malaria,52.0,51.98365010025728,2.94,16.486,0.2,2.184,0.574,AI Anomaly Signal,16.486,Growth Rate
2024-05-10,DRC,Bukavu,Malaria,48.5,48.509650100257275,1.829,14.386,0.2,2.184,0.311,AI Anomaly Signal,14.386,Healthcare Access Risk
2024-05-11,DRC,Bukavu,Malaria,48.9,48.94965010025727,5.528,10.936,0.2,2.184,0.502,AI Anomaly Signal,10.936,Growth Rate
2024-08-03,DRC,Bukavu,Malaria,50.9,50.857650100257274,4.542,14.361,0.2,2.184,-0.029,AI Anomaly Signal,14.361,Growth Rate
2024-09-14,DRC,Bukavu,Malaria,43.6,43.58465010025728,0.62,11.186,0.2,2.184,-0.205,AI Anomaly Signal,11.186,Healthcare Access Risk
2024-09-15,DRC,Bukavu,Malaria,45.9,45.883650100257285,3.221,10.736,0.2,2.184,-0.057,AI Anomaly Signal,10.736,Growth Rate
2024-10-18,DRC,Bukavu,Malaria,46.7,46.69165010025728,2.417,12.086,0.2,2.184,0.205,AI Anomaly Signal,12.086,Growth Rate
2024-12-31,DRC,Bukavu,Malaria,41.0,40.96765010025728,-0.049,9.111,0.2,2.184,-0.078,AI Anomaly Signal,9.111,Healthcare Access Risk
2023-02-14,DRC,Bukavu,Malnutrition,38.3,38.34365010025728,-1.047,10.461,-2.8,2.184,-0.054,AI Anomaly Signal,10.461,Disease Severity
2023-02-28,DRC,Bukavu,Malnutrition,43.9,43.86465010025728,-0.418,15.311,-2.8,2.184,-0.012,AI Anomaly Signal,15.311,Disease Severity
2023-03-04,DRC,Bukavu,Malnutrition,43.0,43.02365010025728,-0.145,14.186,-2.8,2.184,-0.001,AI Anomaly Signal,14.186,Disease Severity
2023-05-16,DRC,Bukavu,Malnutrition,39.2,39.24965010025728,-0.41,10.736,-2.8,2.184,-0.06,AI Anomaly Signal,10.736,Disease Severity
2023-08-04,DRC,Bukavu,Malnutrition,38.8,38.844650100257276,0.003,9.886,-2.8,2.184,-0.028,AI Anomaly Signal,9.886,Disease Severity
2023-12-23,DRC,Bukavu,Malnutrition,40.4,40.41365010025728,0.088,11.386,-2.8,2.184,-0.044,AI Anomaly Signal,11.386,Disease Severity
2024-06-21,DRC,Bukavu,Malnutrition,38.2,38.23865010025728,-0.491,9.811,-2.8,2.184,-0.065,AI Anomaly Signal,9.811,Disease Severity
2024-09-29,DRC,Bukavu,Malnutrition,36.7,36.71165010025728,-0.514,8.286,-2.8,2.184,-0.044,AI Anomaly Signal,8.286,Disease Severity
2024-12-08,DRC,Bukavu,Malnutrition,38.3,38.33465010025728,-0.331,9.736,-2.8,2.184,-0.054,AI Anomaly Signal,9.736,Disease Severity
2024-12-22,DRC,Bukavu,Malnutrition,42.1,42.113650100257274,-0.3,13.436,-2.8,2.184,-0.006,AI Anomaly Signal,13.436,Disease Severity
2024-12-23,DRC,Bukavu,Malnutrition,44.1,44.09965010025728,0.272,14.786,-2.8,2.184,0.058,AI Anomaly Signal,14.786,Disease Severity
2023-01-25,DRC,Bukavu,Meningitis,58.8,58.83265010025728,4.45,17.261,5.2,2.184,0.138,AI Anomaly Signal,17.261,Disease Severity
2023-01-26,DRC,Bukavu,Meningitis,58.2,58.24665010025728,8.575,12.536,5.2,2.184,0.152,AI Anomaly Signal,12.536,Growth Rate
2023-04-11,DRC,Bukavu,Meningitis,56.7,56.747650100257275,4.316,15.586,5.2,2.184,-0.138,AI Anomaly Signal,15.586,Disease Severity
2023-04-12,DRC,Bukavu,Meningitis,52.9,52.90065010025728,8.179,7.911,5.2,2.184,-0.173,Growth Rate,8.179,AI Anomaly Signal
2023-06-01,DRC,Bukavu,Meningitis,49.5,49.46765010025728,1.095,11.661,5.2,2.184,-0.272,AI Anomaly Signal,11.661,Disease Severity
2023-08-26,DRC,Bukavu,Meningitis,49.5,49.47665010025728,0.252,12.386,5.2,2.184,-0.145,AI Anomaly Signal,12.386,Disease Severity
2023-09-29,DRC,Bukavu,Meningitis,45.8,45.85065010025728,0.818,8.236,5.2,2.184,-0.187,AI Anomaly Signal,8.236,Disease Severity
2024-01-01,DRC,Bukavu,Meningitis,49.4,49.399650100257276,0.095,12.586,5.2,2.184,-0.265,AI Anomaly Signal,12.586,Disease Severity
2024-01-19,DRC,Bukavu,Meningitis,53.6,53.625650100257275,2.42,14.261,5.2,2.184,-0.039,AI Anomaly Signal,14.261,Disease Severity
2024-01-20,DRC,Bukavu,Meningitis,55.8,55.79465010025728,6.322,12.436,5.2,2.184,0.053,AI Anomaly Signal,12.436,Growth Rate
2024-05-02,DRC,Bukavu,Meningitis,53.7,53.66365010025728,2.499,14.361,5.2,2.184,-0.18,AI Anomaly Signal,14.361,Disease Severity
2024-05-03,DRC,Bukavu,Meningitis,59.1,59.08465010025728,8.989,13.186,5.2,2.184,-0.074,AI Anomaly Signal,13.186,Growth Rate
2024-06-01,DRC,Bukavu,Meningitis,46.8,46.76965010025728,0.887,9.186,5.2,2.184,-0.287,AI Anomaly Signal,9.186,Disease Severity
2024-07-25,DRC,Bukavu,Meningitis,59.9,59.869650100257275,4.963,17.686,5.2,2.184,0.237,AI Anomaly Signal,17.686,Disease Severity
2024-08-25,DRC,Bukavu,Meningitis,45.0,44.98465010025728,0.717,7.486,5.2,2.184,-0.202,AI Anomaly Signal,7.486,Disease Severity
2024-09-26,DRC,Bukavu,Meningitis,50.2,50.18965010025728,1.144,12.186,5.2,2.184,-0.124,AI Anomaly Signal,12.186,Disease Severity
2024-10-16,DRC,Bukavu,Meningitis,53.2,53.22465010025728,2.192,14.236,5.2,2.184,-0.187,AI Anomaly Signal,14.236,Disease Severity
2024-10-17,DRC,Bukavu,Meningitis,52.7,52.743650100257284,6.558,9.361,5.2,2.184,-0.159,AI Anomaly Signal,9.361,Growth Rate
2023-01-18,DRC,Bukavu,Mpox,43.4,43.40065010025728,-0.248,8.911,3.2,2.184,-0.246,AI Anomaly Signal,8.911,Disease Severity
2023-05-17,DRC,Bukavu,Mpox,41.7,41.71165010025728,-0.241,7.211,3.2,2.184,-0.242,AI Anomaly Signal,7.211,Disease Severity
2023-07-27,DRC,Bukavu,Mpox,60.7,60.70165010025728,7.405,17.736,3.2,2.184,0.577,AI Anomaly Signal,17.736,Growth Rate
2023-07-29,DRC,Bukavu,Mpox,69.1,69.09565010025727,21.232,12.311,3.2,2.184,0.569,Growth Rate,21.232,AI Anomaly Signal
2023-09-11,DRC,Bukavu,Mpox,53.5,53.52265010025728,2.278,16.236,3.2,2.184,0.025,AI Anomaly Signal,16.236,Disease Severity
2023-09-12,DRC,Bukavu,Mpox,51.9,51.90765010025728,5.651,11.236,3.2,2.184,0.037,AI Anomaly Signal,11.236,Growth Rate
2024-01-17,DRC,Bukavu,Mpox,58.6,58.56065010025728,5.569,17.536,3.2,2.184,0.472,AI Anomaly Signal,17.536,Growth Rate
2024-01-18,DRC,Bukavu,Mpox,62.1,62.13465010025728,13.01,13.586,3.2,2.184,0.555,AI Anomaly Signal,13.586,Growth Rate
2024-12-30,DRC,Bukavu,Mpox,43.0,43.03265010025728,-0.645,8.936,3.2,2.184,-0.242,AI Anomaly Signal,8.936,Disease Severity
2023-04-08,DRC,Bukavu,Respiratory_Infections,45.1,45.06865010025727,2.404,15.661,-4.8,2.184,0.02,AI Anomaly Signal,15.661,Disease Severity
2023-04-09,DRC,Bukavu,Respiratory_Infections,40.8,40.78765010025728,5.397,8.436,-4.8,2.184,-0.029,AI Anomaly Signal,8.436,Growth Rate
2023-05-31,DRC,Bukavu,Respiratory_Infections,41.4,41.390650100257275,0.944,13.536,-4.8,2.184,-0.073,AI Anomaly Signal,13.536,Disease Severity
2023-06-01,DRC,Bukavu,Respiratory_Infections,57.9,57.86365010025728,12.321,17.636,-4.8,2.184,0.923,AI Anomaly Signal,17.636,Growth Rate
2023-06-23,DRC,Bukavu,Respiratory_Infections,41.9,41.87965010025728,-0.626,15.036,-4.8,2.184,0.486,AI Anomaly Signal,15.036,Disease Severity
2023-07-15,DRC,Bukavu,Respiratory_Infections,35.3,35.34765010025728,-1.396,9.536,-4.8,2.184,0.224,AI Anomaly Signal,9.536,Disease Severity
2023-07-16,DRC,Bukavu,Respiratory_Infections,42.5,42.50065010025728,2.289,12.736,-4.8,2.184,0.492,AI Anomaly Signal,12.736,Disease Severity
2024-01-01,DRC,Bukavu,Respiratory_Infections,40.5,40.51665010025728,1.225,12.461,-4.8,2.184,-0.153,AI Anomaly Signal,12.461,Disease Severity
2024-01-02,DRC,Bukavu,Respiratory_Infections,39.3,39.33765010025728,2.514,9.936,-4.8,2.184,-0.096,AI Anomaly Signal,9.936,Disease Severity
2024-02-13,DRC,Bukavu,Respiratory_Infections,42.2,42.24065010025728,0.817,14.186,-4.8,2.184,0.254,AI Anomaly Signal,14.186,Disease Severity
2024-02-14,DRC,Bukavu,Respiratory_Infections,40.3,40.26365010025728,2.337,10.611,-4.8,2.184,0.332,AI Anomaly Signal,10.611,Disease Severity
2024-05-05,DRC,Bukavu,Respiratory_Infections,40.3,40.33965010025728,0.686,12.761,-4.8,2.184,-0.091,AI Anomaly Signal,12.761,Disease Severity
2024-05-06,DRC,Bukavu,Respiratory_Infections,37.2,37.18165010025728,2.397,7.886,-4.8,2.184,-0.085,AI Anomaly Signal,7.886,Disease Severity
2024-06-01,DRC,Bukavu,Respiratory_Infections,39.1,39.12765010025728,1.638,10.661,-4.8,2.184,-0.155,AI Anomaly Signal,10.661,Disease Severity
2024-06-29,DRC,Bukavu,Respiratory_Infections,43.5,43.53865010025728,1.807,14.436,-4.8,2.184,0.312,AI Anomaly Signal,14.436,Disease Severity
2024-06-30,DRC,Bukavu,Respiratory_Infections,42.0,41.97865010025728,4.222,10.386,-4.8,2.184,0.387,AI Anomaly Signal,10.386,Disease Severity
2024-09-08,DRC,Bukavu,Respiratory_Infections,41.7,41.69965010025728,1.179,13.411,-4.8,2.184,0.126,AI Anomaly Signal,13.411,Disease Severity
2024-09-09,DRC,Bukavu,Respiratory_Infections,41.1,41.07165010025728,2.947,10.911,-4.8,2.184,0.23,AI Anomaly Signal,10.911,Disease Severity
2024-09-10,DRC,Bukavu,Respiratory_Infections,40.5,40.49265010025728,4.283,8.961,-4.8,2.184,0.265,AI Anomaly Signal,8.961,Disease Severity
2024-11-23,DRC,Bukavu,Respiratory_Infections,42.7,42.71265010025728,1.276,14.536,-4.8,2.184,-0.083,AI Anomaly Signal,14.536,Disease Severity
2024-11-24,DRC,Bukavu,Respiratory_Infections,40.5,40.47765010025728,3.838,9.736,-4.8,2.184,-0.08,AI Anomaly Signal,9.736,Disease Severity
2023-01-14,DRC,Bukavu,Tuberculosis,42.0,41.97465010025728,0.088,8.711,1.2,2.184,0.192,AI Anomaly Signal,8.711,Healthcare Access Risk
2023-09-20,DRC,Bukavu,Tuberculosis,53.4,53.43765010025728,1.689,17.561,1.2,2.184,1.204,AI Anomaly Signal,17.561,Healthcare Access Risk
2023-11-30,DRC,Bukavu,Tuberculosis,43.3,43.33665010025727,-0.445,10.536,1.2,2.184,0.262,AI Anomaly Signal,10.536,Healthcare Access Risk
2024-01-17,DRC,Bukavu,Tuberculosis,41.3,41.32765010025727,-0.621,8.761,1.2,2.184,0.204,AI Anomaly Signal,8.761,Healthcare Access Risk
2024-01-29,DRC,Bukavu,Tuberculosis,51.4,51.365650100257284,0.756,16.911,1.2,2.184,0.715,AI Anomaly Signal,16.911,Healthcare Access Risk
2024-01-30,DRC,Bukavu,Tuberculosis,48.3,48.29765010025727,1.593,12.911,1.2,2.184,0.81,AI Anomaly Signal,12.911,Healthcare Access Risk
2024-05-14,DRC,Bukavu,Tuberculosis,50.3,50.262650100257275,1.938,14.661,1.2,2.184,0.68,AI Anomaly Signal,14.661,Healthcare Access Risk
2024-12-18,DRC,Bukavu,Tuberculosis,41.2,41.24965010025728,-0.132,8.186,1.2,2.184,0.212,AI Anomaly Signal,8.186,Healthcare Access Risk
2024-12-20,DRC,Bukavu,Tuberculosis,51.4,51.37765010025728,0.586,17.136,1.2,2.184,0.672,AI Anomaly Signal,17.136,Healthcare Access Risk
2024-12-21,DRC,Bukavu,Tuberculosis,47.4,47.40765010025728,1.491,12.261,1.2,2.184,0.672,AI Anomaly Signal,12.261,Healthcare Access Risk
2023-02-17,DRC,Bukavu,Typhoid,44.3,44.250650100257275,0.921,13.436,-1.8,2.184,-0.09,AI Anomaly Signal,13.436,Healthcare Access Risk
2023-05-06,DRC,Bukavu,Typhoid,50.8,50.81965010025728,2.607,17.561,-1.8,2.184,0.668,AI Anomaly Signal,17.561,Growth Rate
2023-05-07,DRC,Bukavu,Typhoid,48.6,48.62965010025728,5.686,12.336,-1.8,2.184,0.624,AI Anomaly Signal,12.336,Growth Rate
2023-09-12,DRC,Bukavu,Typhoid,48.8,48.77565010025728,2.465,16.261,-1.8,2.184,0.066,AI Anomaly Signal,16.261,Growth Rate
2023-12-07,DRC,Bukavu,Typhoid,40.3,40.32265010025728,0.728,9.561,-1.8,2.184,0.05,AI Anomaly Signal,9.561,Healthcare Access Risk
2023-12-09,DRC,Bukavu,Typhoid,37.5,37.530650100257276,0.752,6.736,-1.8,2.184,0.059,AI Anomaly Signal,6.736,Healthcare Access Risk
2024-03-01,DRC,Bukavu,Typhoid,51.9,51.905650100257276,4.19,17.436,-1.8,2.184,0.296,AI Anomaly Signal,17.436,Growth Rate
2024-03-02,DRC,Bukavu,Typhoid,49.8,49.75765010025728,8.575,11.011,-1.8,2.184,0.188,AI Anomaly Signal,11.011,Growth Rate
2024-03-03,DRC,Bukavu,Typhoid,57.0,56.954650100257275,14.931,11.686,-1.8,2.184,0.354,Growth Rate,14.931,AI Anomaly Signal
2024-03-19,DRC,Bukavu,Typhoid,43.7,43.67565010025728,-0.196,13.511,-1.8,2.184,0.377,AI Anomaly Signal,13.511,Healthcare Access Risk
2024-08-05,DRC,Bukavu,Typhoid,43.6,43.637650100257275,1.084,12.661,-1.8,2.184,-0.091,AI Anomaly Signal,12.661,Healthcare Access Risk
2024-08-24,DRC,Bukavu,Typhoid,36.3,36.31765010025728,-0.182,6.736,-1.8,2.184,-0.22,AI Anomaly Signal,6.736,Healthcare Access Risk
2024-10-01,DRC,Bukavu,Typhoid,40.6,40.58765010025728,0.089,10.661,-1.8,2.184,-0.146,AI Anomaly Signal,10.661,Healthcare Access Risk
2024-10-17,DRC,Bukavu,Typhoid,40.0,39.978650100257276,1.067,8.886,-1.8,2.184,0.042,AI Anomaly Signal,8.886,Healthcare Access Risk
2024-10-18,DRC,Bukavu,Typhoid,47.0,46.982650100257274,2.727,13.936,-1.8,2.184,0.336,AI Anomaly Signal,13.936,Growth Rate
