country,region,healthcare_access,avg_daily_cases,max_daily_cases,total_cases,case_std,avg_risk_score,max_risk_score,outbreak_days,anomaly_days,avg_growth_rate,max_growth_rate,active_diseases,population,outbreak_frequency,cases_per_100k,volatility_index,vulnerability,cluster,cluster_label,pca_x,pca_y,intervention_priority,resource_multiplier,cluster_v2
Ethiopia,Somali Region,0.45,1777.2759233926129,36213,12991887,2879.501354663111,30.425554035567714,73.7,180,194,10.239611491108072,500.0,10,17142857,24.62,10.37,1.62,0.55,0,🔴 Critical Hotspots,0.910645419655871,0.0075211170551606876,IMMEDIATE,3.0,2
Ethiopia,Tigray,0.45,1744.647606019152,33403,12753374,2611.8507961801342,30.422024623803008,69.8,194,219,9.847365253077976,500.0,10,17142857,26.54,10.18,1.497,0.55,0,🟠 High Burden Zones,0.2782771641808893,0.6620925877438482,URGENT,2.0,0
Ghana,Accra,0.7,1428.0383036935705,33465,10438960,2358.3420383746425,27.823077975376197,71.8,186,208,10.098170998632012,500.0,10,4714285,25.44,30.29,1.651,0.3,1,🟡 Emerging Risk Areas,-2.8560751854458037,-0.11945143828333739,ELEVATED,1.5,1
Ghana,Kumasi,0.7,569.9091655266758,10691,4166036,922.7769246460244,27.545841313269495,68.4,185,210,8.81667852257182,500.0,10,4714285,25.31,12.09,1.619,0.3,1,🟢 Stable Regions,-2.3122484010002617,-1.3404368928243973,ROUTINE,1.0,3
Ghana,Northern Region,0.7,561.9218878248975,11998,4107649,947.7396856480963,27.633488372093023,72.1,192,220,9.80040218878249,500.0,10,4714285,26.27,11.92,1.687,0.3,1,🟢 Stable Regions,-2.0273303380956116,0.12739827828877698,ROUTINE,1.0,3
Ghana,Sekondi,0.7,540.0696306429548,9444,3947909,783.7986665243628,27.693885088919288,70.3,190,206,10.910731874145007,500.0,10,4714285,25.99,11.46,1.451,0.3,1,🟢 Stable Regions,-2.3407572752114016,0.8120309599384887,ROUTINE,1.0,3
Ghana,Sunyani,0.7,409.44103967168263,7239,2993014,579.7642547313346,27.523023255813953,70.0,184,201,9.412833105335157,500.0,10,4714285,25.17,8.69,1.416,0.3,1,🟢 Stable Regions,-2.061852225308527,-0.8931172653589895,ROUTINE,1.0,3
Ghana,Tamale,0.7,700.2961696306429,13006,5119165,1082.947475969362,27.763337893296853,71.1,192,206,10.752381668946649,500.0,10,4714285,26.27,14.85,1.546,0.3,1,🟢 Stable Regions,-2.374997445461236,0.8731971720290969,ROUTINE,1.0,3
Ghana,Upper East,0.7,421.2848153214774,9053,3079592,681.7040992985732,27.70253077975376,68.6,187,210,11.26494801641587,500.0,10,4714285,25.58,8.94,1.618,0.3,1,🟢 Stable Regions,-2.3737949423993827,0.8233338034541621,ROUTINE,1.0,3
Kenya,Eldoret,0.65,969.4890560875513,23896,7086965,1667.7409971182396,28.255198358413132,73.2,196,213,11.573599179206566,500.0,10,6750000,26.81,14.36,1.72,0.35,1,🟠 High Burden Zones,-1.7353994863811963,1.9933111291504637,URGENT,2.0,0
Kenya,Garissa,0.65,668.5932968536251,16720,4887417,1047.0570538030258,28.13406292749658,75.6,186,201,10.058410396716825,500.0,10,6750000,25.44,9.91,1.566,0.35,1,🟢 Stable Regions,-0.9965914417552395,0.045552096380920976,ROUTINE,1.0,3
Kenya,Kisumu,0.65,530.5846785225718,10719,3878574,860.6230354680682,27.905526675786593,74.5,163,195,7.889058823529411,500.0,10,6750000,22.3,7.86,1.622,0.35,1,🟢 Stable Regions,-0.5353021379501088,-3.554498179528129,ROUTINE,1.0,3
Kenya,Mandera,0.65,1078.843365253078,23435,7886345,1652.5470328991555,28.22050615595075,68.3,195,211,9.545042407660738,500.0,10,6750000,26.68,15.98,1.532,0.35,1,🟢 Stable Regions,-2.1997627266864566,0.11503557953176366,ROUTINE,1.0,3
Kenya,Mombasa,0.65,2012.4473324213407,53792,14710990,3112.216895485509,28.447893296853625,68.5,185,211,8.727437756497949,500.0,10,6750000,25.31,29.81,1.546,0.35,1,🟡 Emerging Risk Areas,-2.525634235414154,-1.3174013850894175,ELEVATED,1.5,1
Kenya,Nairobi,0.65,1805.909439124487,44211,13201198,2899.2753405075314,28.380041039671685,68.1,186,210,10.867491108071135,500.0,10,6750000,25.44,26.75,1.605,0.35,1,🟡 Emerging Risk Areas,-2.702519170584887,0.4781932586710387,ELEVATED,1.5,1
Kenya,Nakuru,0.65,811.1395348837209,13671,5929430,1276.4622645967445,28.18623803009576,68.0,188,217,10.72845827633379,500.0,10,6750000,25.72,12.02,1.574,0.35,1,🟢 Stable Regions,-2.0819408419700927,0.5207514583085455,ROUTINE,1.0,3
Kenya,Turkana,0.65,788.5425444596443,15655,5764246,1167.4113938396501,27.999890560875514,76.4,180,209,8.896641586867304,500.0,10,6750000,24.62,11.68,1.48,0.35,1,🟢 Stable Regions,-0.8498105971419713,-1.3576621052491236,ROUTINE,1.0,3
Nigeria,Abuja,0.5,6208.358276333789,136991,45383099,9981.545846055202,31.159316005471958,78.3,197,218,10.01034610123119,500.0,10,27500000,26.95,22.58,1.608,0.5,0,🟡 Emerging Risk Areas,0.7045328022615093,1.3180246009766698,ELEVATED,1.5,1
Nigeria,Anambra,0.5,2549.3705882352942,37680,18635899,3612.785001127182,30.077975376196992,74.7,196,215,8.954428180574556,500.0,10,27500000,26.81,9.27,1.417,0.5,0,🟠 High Burden Zones,0.5479952641814779,0.17720042191348204,URGENT,2.0,0
Nigeria,Borno,0.5,2344.2547195622433,48310,17136502,3646.0148201348575,30.05246238030096,77.1,190,205,9.293435020519835,500.0,10,27500000,25.99,8.52,1.555,0.5,0,🟠 High Burden Zones,0.9322908252260952,0.060038223906258514,URGENT,2.0,0
Nigeria,Kaduna,0.5,3362.970588235294,77251,24583315,5444.303315246898,30.2990560875513,71.7,182,201,9.134065663474694,500.0,10,27500000,24.9,12.23,1.619,0.5,1,🟢 Stable Regions,0.36777892166216464,-0.8324789632111662,ROUTINE,1.0,3
Nigeria,Kano,0.5,2870.9280437756497,81067,20986484,4304.689200117891,30.189986320109437,75.8,173,194,9.228015047879616,500.0,10,27500000,23.67,10.44,1.499,0.5,0,🔴 Critical Hotspots,0.9826115677323056,-1.345828339238815,IMMEDIATE,3.0,2
Nigeria,Lagos,0.5,6186.5292749658,126548,45223529,9410.18644634007,31.322735978112178,79.5,198,223,10.266192886456908,500.0,10,27500000,27.09,22.5,1.521,0.5,0,🟡 Emerging Risk Areas,0.8623466671777326,1.6550007906083926,ELEVATED,1.5,1
Nigeria,Oyo,0.5,2942.713679890561,61529,21511237,4548.844966521451,30.343228454172365,76.9,202,219,10.118958960328317,500.0,10,27500000,27.63,10.7,1.546,0.5,0,🟠 High Burden Zones,0.6636987539955492,1.6838098551286302,URGENT,2.0,0
Nigeria,Rivers,0.5,2057.5385772913814,41000,15040607,3246.5385286372325,30.033378932968535,70.1,178,209,10.110132694938441,500.0,10,27500000,24.35,7.48,1.578,0.5,1,🟢 Stable Regions,0.22903256128764612,-0.42499476673579667,ROUTINE,1.0,3
Senegal,Dakar,0.6,452.66279069767444,11154,3308965,737.9183804175334,28.826976744186048,74.2,175,195,9.835187414500684,500.0,10,2833333,23.94,15.98,1.63,0.4,1,🟢 Stable Regions,-0.6961935662689149,-0.9420722672751292,ROUTINE,1.0,3
Senegal,Diourbel,0.6,236.44883720930233,5806,1728441,420.0723341937703,28.511354309165526,70.2,188,212,8.83854172366621,500.0,10,2833333,25.72,8.35,1.777,0.4,1,🟢 Stable Regions,-0.9665111043024482,-0.8728209740006113,ROUTINE,1.0,3
Senegal,Saint-Louis,0.6,153.70013679890562,2897,1123548,227.09763716058708,28.55329685362517,74.3,193,213,9.477378932968536,500.0,10,2833333,26.4,5.42,1.478,0.4,1,🟠 High Burden Zones,-0.5256502558519335,0.1550580541437419,URGENT,2.0,0
Senegal,Tambacounda,0.6,151.26853625170997,3578,1105773,253.7091218161583,28.545034199726405,75.9,200,226,10.083878248974008,500.0,10,2833333,27.36,5.34,1.677,0.4,1,🟠 High Burden Zones,-0.4649867360329677,1.2481904868657598,URGENT,2.0,0
Senegal,Thiès,0.6,143.66963064295484,2996,1050225,224.3535707698862,28.49079343365253,77.5,195,224,9.707538987688098,500.0,10,2833333,26.68,5.07,1.562,0.4,1,🟠 High Burden Zones,-0.19729858590340144,0.5951803196940614,URGENT,2.0,0
Senegal,Ziguinchor,0.6,181.37209302325581,3888,1325830,276.6791192945885,28.633310533515733,72.9,177,194,10.112896032831738,500.0,10,2833333,24.21,6.4,1.525,0.4,1,🟢 Stable Regions,-0.5401659196800288,-0.6127632196538643,ROUTINE,1.0,3
Sudan,Blue Nile,0.35,287.86812585499314,6087,2104316,466.03384863554965,31.152722298221615,71.6,195,222,9.157151846785226,500.0,10,7500000,26.68,3.84,1.619,0.65,0,🟠 High Burden Zones,1.7505127825664195,0.3775665538435079,URGENT,2.0,0
Sudan,Darfur,0.35,320.4575923392613,7040,2342545,539.7775893752348,31.196019151846784,71.2,182,210,9.629798905608755,500.0,10,7500000,24.9,4.27,1.684,0.65,0,🔴 Critical Hotspots,1.8451353063832636,-0.2605393067107716,IMMEDIATE,3.0,2
Sudan,Kassala,0.35,396.0176470588235,10529,2894889,627.1632671626594,31.276908344733243,68.8,182,205,9.947575923392613,500.0,10,7500000,24.9,5.28,1.584,0.65,0,🔴 Critical Hotspots,1.4895530852316914,-0.07222641159612044,IMMEDIATE,3.0,2
Sudan,Khartoum,0.35,751.7872777017784,18747,5495565,1206.465792215936,31.71920656634747,74.6,182,206,9.547606019151846,500.0,10,7500000,24.9,10.02,1.605,0.65,0,🔴 Critical Hotspots,2.1912938688992916,-0.18232064544610438,IMMEDIATE,3.0,2
Sudan,Omdurman,0.35,317.9816689466484,6466,2324446,489.63356612850345,31.237455540355676,75.9,189,213,9.612195622435019,500.0,10,7500000,25.85,4.24,1.54,0.65,0,🔴 Critical Hotspots,2.2929577492091138,0.40870421656398653,IMMEDIATE,3.0,2
Sudan,Red Sea State,0.35,347.3738714090287,11603,2539303,589.1170299502026,31.19857729138167,72.9,184,203,9.084595075239397,500.0,10,7500000,25.17,4.63,1.696,0.65,0,🔴 Critical Hotspots,2.067433672756279,-0.49678958595428585,IMMEDIATE,3.0,2
Tanzania,Arusha,0.55,768.1173734610123,15745,5614938,1250.9422156016349,29.217441860465115,71.5,196,215,10.615300957592341,500.0,10,9000000,26.81,8.53,1.629,0.45,1,🟠 High Burden Zones,-0.594732783530925,1.3209871728636213,URGENT,2.0,0
Tanzania,Dar es Salaam,0.55,2557.1868673050617,55090,18693036,4266.188338588886,29.621682626538988,76.2,176,192,10.11033926128591,500.0,10,9000000,24.08,28.41,1.668,0.45,1,🟡 Emerging Risk Areas,-0.5022071842214186,-0.4865835064722374,ELEVATED,1.5,1
Tanzania,Dodoma,0.55,617.7402188782489,15290,4515681,1006.1142428696885,28.952571819425444,70.5,181,203,8.226945280437757,500.0,10,9000000,24.76,6.86,1.629,0.45,1,🟢 Stable Regions,-0.25715104885668016,-1.8379418529743472,ROUTINE,1.0,3
Tanzania,Mbeya,0.55,1189.3333789329686,20072,8694027,1773.0391719863992,29.228837209302323,71.1,188,208,9.486236662106704,500.0,10,9000000,25.72,13.21,1.491,0.45,1,🟢 Stable Regions,-0.6557778401107478,-0.2370255625440661,ROUTINE,1.0,3
Tanzania,Morogoro,0.55,1165.1746922024624,20939,8517427,1813.2927864799851,29.22161422708618,67.5,178,203,8.58432558139535,500.0,10,9000000,24.35,12.95,1.556,0.45,1,🟢 Stable Regions,-0.808589590914768,-1.8564786610606667,ROUTINE,1.0,3
Tanzania,Mwanza,0.55,623.825170998632,11315,4560162,909.0359296120022,29.276525307797538,69.6,200,213,12.199504787961697,500.0,10,9000000,27.36,6.93,1.457,0.45,1,🟠 High Burden Zones,-0.9914683751729456,2.8632996643483923,URGENT,2.0,0
Tanzania,Zanzibar,0.55,969.3809849521203,21112,7086175,1565.589567609186,29.11328317373461,77.1,188,205,9.383463748290014,500.0,10,9000000,25.72,10.77,1.615,0.45,1,🟠 High Burden Zones,0.1605971063714774,-0.14284513576902041,URGENT,2.0,0
Uganda,Arua,0.55,503.45403556771544,9591,3680249,746.1701336753586,28.90577291381669,69.6,183,200,8.747428180574556,500.0,10,6714285,25.03,7.5,1.482,0.45,1,🟢 Stable Regions,-0.5379595363785378,-1.2996288773112261,ROUTINE,1.0,3
Uganda,Gulu,0.55,726.8668946648427,16757,5313397,1160.4565607555214,29.215198358413133,70.6,201,218,11.57036388508892,500.0,10,6714285,27.5,10.83,1.597,0.45,1,🟠 High Burden Zones,-1.008590012161932,2.4570097593260294,URGENT,2.0,0
Uganda,Jinja,0.55,506.7357045143639,10827,3704238,792.0729842936354,29.071285909712724,74.5,180,206,9.50381121751026,500.0,10,6714285,24.62,7.55,1.563,0.45,1,🟢 Stable Regions,0.08543673741718186,-0.7529889714584839,ROUTINE,1.0,3
Uganda,Kampala,0.55,1476.8181942544459,33372,10795541,2382.9114211547926,29.353515731874147,71.3,191,209,10.071941176470588,500.0,10,6714285,26.13,22.0,1.614,0.45,1,🟡 Emerging Risk Areas,-1.1020438096528993,0.48261091452898675,ELEVATED,1.5,1
Uganda,Lira,0.55,623.8466484268126,15471,4560319,971.2014625706059,28.94151846785226,73.9,182,217,8.738358413132696,500.0,10,6714285,24.9,9.29,1.557,0.45,1,🟢 Stable Regions,-0.07329404266770487,-1.247151981173929,ROUTINE,1.0,3
Uganda,Mbale,0.55,572.2548563611491,10464,4183183,928.007629482633,29.237181942544456,70.0,201,218,11.159433652530781,500.0,10,6714285,27.5,8.52,1.622,0.45,1,🟠 High Burden Zones,-0.8993730067620318,2.111711644817056,URGENT,2.0,0
Uganda,Mbarara,0.55,852.975512995896,18459,6235251,1272.116876925579,28.854309165526676,69.7,165,197,7.526180574555403,500.0,10,6714285,22.57,12.7,1.491,0.45,1,🟢 Stable Regions,-0.4103408954639166,-3.700451200127081,ROUTINE,1.0,3
Zambia,Copperbelt,0.5,437.94131326949383,8435,3201351,646.85799107177,29.532708618331053,70.1,187,213,10.87379069767442,500.0,10,3800000,25.58,11.52,1.477,0.5,1,🟢 Stable Regions,-0.44464182422420373,0.8373129288512382,ROUTINE,1.0,3
Zambia,Eastern Province,0.5,352.4418604651163,8283,2576350,584.7108965177529,29.45001367989056,72.8,187,207,10.055316005471957,500.0,10,3800000,25.58,9.27,1.659,0.5,1,🟢 Stable Regions,0.0843436729413137,0.2563432143338718,ROUTINE,1.0,3
Zambia,Lusaka,0.5,814.940902872777,18203,5957218,1307.444184293579,29.632599179206565,69.6,201,225,9.320203830369357,500.0,10,3800000,27.5,21.45,1.604,0.5,1,🟡 Emerging Risk Areas,-0.9471174671364477,0.6590595623144408,ELEVATED,1.5,1
Zambia,Northern Province,0.5,347.9815321477428,7331,2543745,575.0260675094158,29.65299589603283,67.4,187,207,10.33986046511628,500.0,10,3800000,25.58,9.16,1.652,0.5,1,🟢 Stable Regions,-0.48879991569030246,0.3433553070450617,ROUTINE,1.0,3
Zambia,Southern Province,0.5,409.8034199726402,8337,2995663,618.9930071780726,29.431764705882355,70.4,182,205,9.117186046511629,500.0,10,3800000,24.9,10.78,1.51,0.5,1,🟢 Stable Regions,-0.13437179290918855,-0.9729832189990169,ROUTINE,1.0,3
